stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
6242,"1-osios Petruliškės",54.689741,25.685042,,,6242,"https://www.visimarsrutai.lt/#/stop/result?stopId=6242",,,,,,,,,,
6246,Mūrininkai,54.592518,25.556678,,,6246,"https://www.visimarsrutai.lt/#/stop/result?stopId=6246",,,,,,,,,,
6247,"13-sis kilometras",54.624740,25.431394,,,6247,"https://www.visimarsrutai.lt/#/stop/result?stopId=6247",,,,,,,,,,
6248,Parudaminys,54.525337,25.264327,,,6248,"https://www.visimarsrutai.lt/#/stop/result?stopId=6248",,,,,,,,,,
6415,Pivoriūnai,55.044859,25.351144,,,6415,"https://www.visimarsrutai.lt/#/stop/result?stopId=6415",,,,,,,,,,
6681,Kuna,54.867217,25.388386,,,6681,"https://www.visimarsrutai.lt/#/stop/result?stopId=6681",,,,,,,,,,
6684,Pervaža,54.812609,25.522733,,,6684,"https://www.visimarsrutai.lt/#/stop/result?stopId=6684",,,,,,,,,,
6685,Pridotkai,54.727606,25.669559,,,6685,"https://www.visimarsrutai.lt/#/stop/result?stopId=6685",,,,,,,,,,
6688,Vyžiškės,54.761900,25.668101,,,6688,"https://www.visimarsrutai.lt/#/stop/result?stopId=6688",,,,,,,,,,
6692,Kunigiškiai,54.921978,24.836994,,,6692,"https://www.visimarsrutai.lt/#/stop/result?stopId=6692",,,,,,,,,,
6695,Narbutiškės,54.815411,25.694279,,,6695,"https://www.visimarsrutai.lt/#/stop/result?stopId=6695",,,,,,,,,,
6702,Miškiniai,54.885932,25.542647,,,6702,"https://www.visimarsrutai.lt/#/stop/result?stopId=6702",,,,,,,,,,
6703,"Airėnai II",54.835305,24.946266,,,6703,"https://www.visimarsrutai.lt/#/stop/result?stopId=6703",,,,,,,,,,
6715,Žagarinė,54.448502,25.114101,,,6715,"https://www.visimarsrutai.lt/#/stop/result?stopId=6715",,,,,,,,,,
6721,"1-ieji Vyžulionys",54.937165,25.295239,,,6721,"https://www.visimarsrutai.lt/#/stop/result?stopId=6721",,,,,,,,,,
6733,Akuotninkai,54.859548,25.639871,,,6733,"https://www.visimarsrutai.lt/#/stop/result?stopId=6733",,,,,,,,,,
6734,"1-osios Brinkiškės",54.806405,25.094755,,,6734,"https://www.visimarsrutai.lt/#/stop/result?stopId=6734",,,,,,,,,,
